Hours_Studied,Attendance,Extracurricular_Activities,Sleep_Hours,Motivation_Level,Teacher_Quality,Peer_Influence,Physical_Activity,Gender,quiz1,quiz2,Assignment1,Assignment2,Midterm_Marks,Final_Marks,Grade
23,84,No,7,Low,Medium,Positive,3,Male,77,79,84,79,71,67,A-
19,64,No,8,Low,Medium,Negative,4,Female,68,72,87,83,57,61,B+
24,98,Yes,7,Medium,Medium,Neutral,4,Male,84,78,93,82,89,74,A
29,89,Yes,8,Medium,Medium,Negative,4,Male,85,75,83,89,96,71,A
19,92,Yes,6,Medium,High,Neutral,4,Female,77,76,83,82,63,70,A
19,88,Yes,8,Medium,Medium,Positive,3,Male,78,69,83,86,87,71,A
29,84,Yes,7,Low,Medium,Neutral,2,Male,81,76,91,85,66,67,A-
25,78,Yes,6,Medium,High,Negative,2,Male,77,72,86,88,48,66,A-
17,94,No,6,High,Low,Neutral,1,Male,75,81,87,82,78,69,A-
23,98,Yes,8,Medium,High,Positive,5,Male,82,75,90,89,69,72,A
17,80,No,8,Medium,High,Neutral,4,Male,74,73,83,84,86,68,A-
17,97,Yes,6,Low,High,Neutral,2,Male,77,72,87,88,85,71,A
21,83,Yes,8,Low,Medium,Positive,4,Male,79,73,84,88,95,70,A
9,82,Yes,8,Medium,Medium,Positive,3,Male,67,68,87,84,70,66,A-
10,78,Yes,8,Medium,Medium,Neutral,4,Male,66,77,82,82,72,65,A-
17,68,No,8,Medium,Medium,Positive,4,Female,70,69,86,84,68,64,B+
14,60,Yes,10,Low,Medium,Positive,3,Male,64,68,86,80,63,60,B+
22,70,Yes,6,Medium,High,Neutral,3,Female,74,71,85,83,80,65,A-
15,80,Yes,9,Low,Medium,Positive,2,Female,72,69,88,86,89,67,A-
12,75,Yes,7,Medium,Medium,Positive,4,Male,69,73,82,79,56,66,A-
29,78,No,5,High,Medium,Negative,1,Female,83,79,83,84,97,69,A-
19,99,No,6,Medium,High,Neutral,3,Male,79,74,89,84,82,72,A
20,74,No,8,Low,Medium,Negative,2,Female,74,77,85,85,87,66,A-
11,78,Yes,8,High,Medium,Neutral,3,Male,69,70,81,88,98,66,A-
17,65,Yes,5,Medium,Medium,Positive,3,Female,69,69,83,79,73,63,B+
21,62,Yes,6,High,High,Positive,3,Male,72,74,88,81,52,64,B+
13,91,No,6,Medium,Medium,Negative,2,Female,69,70,83,87,88,65,A-
22,83,Yes,6,Medium,Medium,Neutral,2,Male,80,79,88,84,92,71,A
16,90,No,4,Medium,Medium,Neutral,3,Female,72,72,84,81,56,66,A-
18,66,No,4,Low,Medium,Neutral,2,Male,71,72,85,83,49,64,B+
16,83,No,6,Medium,Low,Positive,4,Female,69,60,85,83,55,63,B+
