Hours_Studied,Attendance,Extracurricular_Activities,Sleep_Hours,Motivation_Level,Teacher_Quality,Peer_Influence,Physical_Activity,Gender,quiz1,quiz2,Assignment1,Assignment2,Midterm_Marks,Final_Marks,Grade
23,84,No,7,Low,Medium,Positive,3,Male,60,62,80,76,63,50,B-
19,64,No,8,Low,Medium,Negative,4,Female,51,55,83,79,49,44,C
24,98,Yes,7,Medium,Medium,Neutral,4,Male,67,61,89,78,81,57,B
29,89,Yes,8,Medium,Medium,Negative,4,Male,68,58,79,85,88,54,B-
19,92,Yes,6,Medium,High,Neutral,4,Female,60,59,79,79,55,53,B-
19,88,Yes,8,Medium,Medium,Positive,3,Male,61,52,79,82,79,54,B-
29,84,Yes,7,Low,Medium,Neutral,2,Male,64,59,87,81,58,50,B-
25,78,Yes,6,Medium,High,Negative,2,Male,60,56,82,85,40,49,C+
17,94,No,6,High,Low,Neutral,1,Male,58,64,83,79,70,52,B-
23,98,Yes,8,Medium,High,Positive,5,Male,65,58,86,86,61,55,B
17,80,No,8,Medium,High,Neutral,4,Male,57,56,79,81,78,51,B-
17,97,Yes,6,Low,High,Neutral,2,Male,60,55,83,84,77,54,B-
21,83,Yes,8,Low,Medium,Positive,4,Male,62,56,80,84,87,53,B-
9,82,Yes,8,Medium,Medium,Positive,3,Male,50,51,83,80,62,49,C+
10,78,Yes,8,Medium,Medium,Neutral,4,Male,49,60,78,79,64,48,C+
17,68,No,8,Medium,Medium,Positive,4,Female,53,52,82,80,60,47,C+
14,60,Yes,10,Low,Medium,Positive,3,Male,47,51,82,76,55,43,C
22,70,Yes,6,Medium,High,Neutral,3,Female,57,54,81,79,72,48,C+
15,80,Yes,9,Low,Medium,Positive,2,Female,55,52,84,82,81,50,B-
12,75,Yes,7,Medium,Medium,Positive,4,Male,52,56,78,75,48,49,C+
29,78,No,5,High,Medium,Negative,1,Female,66,62,79,80,89,52,B-
19,99,No,6,Medium,High,Neutral,3,Male,62,57,85,80,74,55,B
20,74,No,8,Low,Medium,Negative,2,Female,57,60,81,81,79,49,C+
11,78,Yes,8,High,Medium,Neutral,3,Male,52,53,77,84,90,49,C+
17,65,Yes,5,Medium,Medium,Positive,3,Female,52,52,79,75,65,46,C+
21,62,Yes,6,High,High,Positive,3,Male,55,57,84,77,44,47,C+
13,91,No,6,Medium,Medium,Negative,2,Female,52,53,79,83,80,48,C+
22,83,Yes,6,Medium,Medium,Neutral,2,Male,63,62,84,80,84,54,B-
16,90,No,4,Medium,Medium,Neutral,3,Female,55,55,80,77,48,49,C+
18,66,No,4,Low,Medium,Neutral,2,Male,54,55,81,80,41,47,C+
16,83,No,6,Medium,Low,Positive,4,Female,52,43,81,80,47,46,C+
31,70,Yes,7,Medium,Medium,Negative,3,Male,67,52,85,78,56,52,B-
20,69,Yes,8,Medium,High,Positive,3,Male,58,61,83,82,86,50,B-
14,60,No,5,Medium,Medium,Neutral,3,Female,48,56,82,74,40,44,C
25,65,No,5,Medium,Medium,Positive,3,Female,62,55,84,80,80,51,B-
13,72,No,6,Low,Medium,Negative,3,Male,47,51,80,73,83,44,C
21,65,Yes,7,Low,High,Positive,3,Female,56,56,79,77,81,47,C+
8,99,No,9,Low,Medium,Neutral,5,Female,51,61,73,81,44,50,B-
12,72,Yes,8,Medium,Medium,Positive,5,Female,49,45,79,81,74,46,C+
21,65,Yes,6,Low,High,Negative,4,Male,56,51,78,83,88,47,C+
24,68,No,8,Low,High,Neutral,1,Male,61,56,80,82,46,50,B-
21,84,Yes,6,Low,High,Neutral,2,Female,57,59,76,83,42,48,C+
19,63,No,7,Medium,Medium,Positive,3,Male,55,66,83,82,84,47,C+
18,94,Yes,7,Medium,Medium,Negative,2,Male,60,60,78,81,72,53,B-
11,98,Yes,9,Low,Medium,Positive,3,Male,53,52,84,83,72,51,B-
16,70,Yes,8,Medium,Medium,Positive,3,Male,53,58,80,70,88,48,C+
17,78,Yes,6,Medium,High,Positive,3,Female,57,65,84,78,78,51,B-
26,61,Yes,6,Medium,Medium,Positive,3,Female,59,55,83,79,60,47,C+
22,86,Yes,7,Low,High,Positive,2,Male,60,55,88,80,62,51,B-
9,77,No,5,Medium,High,Neutral,3,Male,47,58,84,74,47,46,C+
22,71,Yes,7,Low,Low,Positive,4,Male,56,58,84,76,55,47,C+
18,68,No,7,Medium,Medium,Neutral,3,Male,54,50,85,81,62,47,C+
16,86,Yes,8,Medium,Medium,Positive,4,Male,55,59,82,78,53,50,B-
24,77,No,8,Medium,Medium,Neutral,3,Female,60,62,82,78,86,50,B-
