Hours_Studied,Attendance,Extracurricular_Activities,Sleep_Hours,Motivation_Level,Teacher_Quality,Peer_Influence,Physical_Activity,Gender,quiz1,quiz2,Assignment1,Assignment2,Midterm_Marks,Final_Marks,Grade
23,84,No,7,Low,Medium,Positive,3,Male,70,71,83,78,68,60,B+
19,64,No,8,Low,Medium,Negative,4,Female,61,64,86,82,54,54,B-
24,98,Yes,7,Medium,Medium,Neutral,4,Male,78,72,92,81,86,67,A-
29,89,Yes,8,Medium,Medium,Negative,4,Male,79,69,82,88,93,64,B+
19,92,Yes,6,Medium,High,Neutral,4,Female,70,69,82,82,60,63,B+
19,88,Yes,8,Medium,Medium,Positive,3,Male,71,64,82,85,84,64,B+
29,84,Yes,7,Low,Medium,Neutral,2,Male,75,69,90,84,63,60,B+
25,78,Yes,6,Medium,High,Negative,2,Male,70,66,85,87,45,59,B
17,94,No,6,High,Low,Neutral,1,Male,68,73,86,82,75,62,B+
23,98,Yes,8,Medium,High,Positive,5,Male,75,69,89,88,66,65,A-
17,80,No,8,Medium,High,Neutral,4,Male,67,67,82,83,83,61,B+
17,97,Yes,6,Low,High,Neutral,2,Male,70,66,86,87,82,64,B+
21,83,Yes,8,Low,Medium,Positive,4,Male,72,67,83,87,92,63,B+
9,82,Yes,8,Medium,Medium,Positive,3,Male,58,63,86,83,67,59,B
10,78,Yes,8,Medium,Medium,Neutral,4,Male,58,69,81,81,69,58,B
17,68,No,8,Medium,Medium,Positive,4,Female,62,62,85,83,65,57,B
14,60,Yes,10,Low,Medium,Positive,3,Male,56,61,85,79,60,53,B-
22,70,Yes,6,Medium,High,Neutral,3,Female,67,64,84,82,77,58,B
15,80,Yes,9,Low,Medium,Positive,2,Female,64,63,87,85,86,60,B+
12,75,Yes,7,Medium,Medium,Positive,4,Male,61,66,81,78,53,59,B
29,78,No,5,High,Medium,Negative,1,Female,77,72,82,83,94,62,B+
19,99,No,6,Medium,High,Neutral,3,Male,72,68,88,83,79,65,A-
20,74,No,8,Low,Medium,Negative,2,Female,67,70,84,84,84,59,B
11,78,Yes,8,High,Medium,Neutral,3,Male,61,64,80,87,95,59,B
17,65,Yes,5,Medium,Medium,Positive,3,Female,62,62,82,78,70,56,B
21,62,Yes,6,High,High,Positive,3,Male,65,67,87,80,49,57,B
13,91,No,6,Medium,Medium,Negative,2,Female,61,63,82,86,85,58,B
22,83,Yes,6,Medium,Medium,Neutral,2,Male,74,72,87,83,89,64,B+
16,90,No,4,Medium,Medium,Neutral,3,Female,64,66,83,80,53,59,B
18,66,No,4,Low,Medium,Neutral,2,Male,64,65,84,82,46,57,B
16,83,No,6,Medium,Low,Positive,4,Female,61,55,84,82,52,56,B
31,70,Yes,7,Medium,Medium,Negative,3,Male,78,63,88,81,61,62,B+
20,69,Yes,8,Medium,High,Positive,3,Male,68,70,86,85,91,60,B+
14,60,No,5,Medium,Medium,Neutral,3,Female,57,65,85,76,45,54,B-
25,65,No,5,Medium,Medium,Positive,3,Female,73,66,87,83,85,61,B+
13,72,No,6,Low,Medium,Negative,3,Male,56,61,83,76,88,54,B-
21,65,Yes,7,Low,High,Positive,3,Female,66,66,82,80,86,57,B
8,99,No,9,Low,Medium,Neutral,5,Female,59,70,76,84,49,60,B+
12,72,Yes,8,Medium,Medium,Positive,5,Female,58,57,82,83,79,56,B
21,65,Yes,6,Low,High,Negative,4,Male,66,62,81,86,93,57,B
24,68,No,8,Low,High,Neutral,1,Male,71,67,83,85,51,60,B+
21,84,Yes,6,Low,High,Neutral,2,Female,67,68,79,86,47,58,B
19,63,No,7,Medium,Medium,Positive,3,Male,64,73,86,85,89,57,B
18,94,Yes,7,Medium,Medium,Negative,2,Male,70,70,81,84,77,63,B+
11,98,Yes,9,Low,Medium,Positive,3,Male,62,64,87,86,77,61,B+
16,70,Yes,8,Medium,Medium,Positive,3,Male,63,67,83,73,93,58,B
17,78,Yes,6,Medium,High,Positive,3,Female,67,73,87,80,83,61,B+
26,61,Yes,6,Medium,Medium,Positive,3,Female,70,65,86,82,65,57,B
22,86,Yes,7,Low,High,Positive,2,Male,71,66,91,82,67,61,B+
9,77,No,5,Medium,High,Neutral,3,Male,56,67,87,77,52,56,B
22,71,Yes,7,Low,Low,Positive,4,Male,66,67,87,79,60,57,B
18,68,No,7,Medium,Medium,Neutral,3,Male,63,61,88,84,67,57,B
16,86,Yes,8,Medium,Medium,Positive,4,Male,65,69,85,81,58,60,B+
24,77,No,8,Medium,Medium,Neutral,3,Female,71,71,85,81,91,60,B+
26,67,Yes,7,Low,High,Neutral,4,Female,72,71,83,85,46,59,B
26,88,Yes,5,Medium,High,Positive,4,Male,77,72,88,87,74,65,A-
15,83,No,5,Low,High,Neutral,2,Female,62,64,87,80,84,58,B
18,94,Yes,6,High,Medium,Positive,4,Male,71,76,87,89,82,64,B+
22,65,No,8,Medium,High,Positive,1,Female,68,62,84,82,77,59,B
26,91,Yes,8,Medium,Medium,Neutral,3,Male,73,70,83,78,66,61,B+
17,87,No,7,Medium,Medium,Negative,5,Female,69,66,91,88,91,63,B+
19,65,Yes,10,Low,Medium,Positive,3,Male,62,66,83,85,61,55,B
13,88,Yes,9,High,High,Negative,4,Male,64,68,87,87,83,61,B+
13,78,Yes,9,High,Medium,Neutral,3,Male,63,72,84,81,91,60,B+
25,98,Yes,8,Medium,High,Neutral,3,Male,76,73,88,86,51,64,B+
28,66,Yes,8,Medium,Medium,Neutral,2,Male,75,64,80,88,92,61,B+
20,86,Yes,8,Medium,Medium,Negative,3,Male,70,75,86,80,84,62,B+
26,75,Yes,4,High,High,Positive,2,Male,75,76,84,83,76,63,B+
22,98,No,5,Low,High,Negative,4,Female,72,73,90,81,64,62,B+
16,73,No,7,Medium,Medium,Negative,4,Male,63,63,86,77,90,58,B
22,98,Yes,7,Medium,Medium,Positive,3,Female,73,70,85,86,47,63,B+
29,96,Yes,7,Medium,Medium,Positive,3,Male,79,72,85,89,67,64,B+
20,71,Yes,7,Medium,Low,Neutral,4,Female,66,63,81,84,83,58,B
29,92,No,4,Medium,Medium,Negative,1,Female,80,79,89,85,86,65,A-
4,100,Yes,8,High,High,Positive,4,Male,58,70,84,88,55,62,B+
25,70,No,7,Medium,Medium,Positive,3,Female,71,57,90,90,47,59,B
21,77,Yes,7,Medium,Medium,Neutral,3,Male,69,70,82,82,85,61,B+
18,81,Yes,8,Medium,Medium,Neutral,3,Female,65,64,82,78,66,58,B
21,72,Yes,5,Medium,Medium,Neutral,5,Male,65,64,81,83,52,57,B
8,61,Yes,7,Medium,Medium,Positive,3,Male,52,59,77,76,49,53,B-
19,69,Yes,7,High,Medium,Negative,2,Male,65,69,85,77,77,58,B
22,71,No,6,High,Low,Positive,3,Male,69,71,82,80,74,59,B
29,78,Yes,4,Low,High,Neutral,3,Male,82,76,92,89,88,67,A-
17,67,Yes,5,High,Medium,Negative,3,Female,61,62,83,83,47,55,B
15,95,No,7,Medium,Medium,Positive,4,Male,67,71,81,81,88,63,B+
17,88,Yes,7,Low,Medium,Neutral,3,Male,68,70,83,87,89,62,B+
25,63,Yes,7,Medium,High,Negative,4,Male,72,65,85,79,67,60,B+
22,86,No,6,Medium,Medium,Neutral,0,Male,66,67,87,81,49,57,B
17,86,No,5,High,Medium,Neutral,3,Male,70,73,85,86,92,64,B+
23,98,Yes,7,Low,Medium,Negative,3,Female,71,74,84,81,49,61,B+
21,60,No,7,Medium,High,Neutral,4,Male,65,69,79,81,75,57,B
26,70,Yes,8,Medium,Low,Neutral,4,Female,68,61,87,83,70,56,B
16,97,Yes,6,Low,Medium,Positive,4,Male,69,75,80,86,87,64,B+
18,97,Yes,4,Low,Medium,Positive,3,Male,68,66,86,83,70,62,B+
18,89,Yes,4,Medium,Medium,Positive,2,Female,99,100,100,95,68,93,A+
11,91,No,6,Medium,Medium,Neutral,3,Male,62,67,86,87,89,61,B+
22,64,No,7,Low,Medium,Negative,3,Male,64,59,84,81,93,55,B
22,81,Yes,7,Low,Medium,Positive,3,Female,70,70,88,80,72,61,B+
20,69,Yes,6,Medium,Medium,Positive,3,Male,67,57,84,88,68,59,B
19,67,No,5,High,Medium,Positive,3,Male,64,59,78,79,87,57,B
12,92,No,4,High,High,Neutral,3,Male,62,67,90,89,87,60,B+
17,65,Yes,8,Medium,High,Neutral,4,Female,64,66,82,83,61,58,B
18,79,Yes,7,Medium,High,Neutral,3,Male,64,64,87,89,74,58,B
15,98,No,6,High,High,Positive,3,Male,66,64,85,85,53,62,B+
19,67,No,5,High,Low,Negative,3,Male,63,61,85,79,77,56,B
22,99,Yes,6,Low,Medium,Negative,4,Male,75,74,87,87,87,65,A-
31,100,No,7,Medium,High,Positive,5,Male,85,79,88,87,54,69,A-
21,82,Yes,7,High,Medium,Positive,3,Female,71,70,88,86,61,62,B+
22,67,Yes,7,High,High,Positive,2,Female,69,72,77,83,67,60,B+
20,73,Yes,9,Medium,High,Positive,3,Male,70,71,85,82,87,62,B+
8,77,Yes,6,Medium,Medium,Neutral,2,Male,55,61,83,80,82,56,B
20,72,No,9,Medium,High,Positive,3,Male,68,67,86,85,61,60,B+
20,71,Yes,7,High,Medium,Negative,5,Male,67,62,83,82,57,59,B
35,99,Yes,7,Low,High,Neutral,2,Female,91,79,84,86,80,72,A
19,66,No,8,Medium,Medium,Neutral,3,Female,64,69,84,79,69,57,B
22,89,Yes,6,Medium,High,Positive,3,Female,75,76,84,83,75,66,A-
20,60,No,7,High,High,Positive,4,Male,64,69,85,80,77,56,B
13,84,No,5,Medium,High,Positive,2,Male,61,65,85,91,73,58,B
27,97,Yes,8,Medium,Medium,Positive,5,Female,79,78,87,85,76,66,A-
25,72,Yes,8,Low,Medium,Positive,4,Female,74,70,91,90,89,63,B+
25,67,No,9,High,High,Positive,3,Female,73,74,89,87,88,61,B+
15,86,Yes,7,Medium,Medium,Negative,3,Male,62,66,81,83,52,58,B
28,89,Yes,9,High,Medium,Positive,1,Female,78,74,81,83,74,64,B+
12,88,No,6,Low,Medium,Positive,2,Male,59,70,88,76,67,57,B
24,73,Yes,8,Medium,Medium,Neutral,3,Male,72,68,92,78,59,61,B+
33,70,Yes,6,Low,High,Neutral,4,Male,80,70,83,82,77,62,B+
14,98,No,7,Medium,High,Positive,4,Female,66,74,87,81,71,62,B+
21,78,Yes,10,Medium,Low,Positive,2,Male,65,67,82,85,50,60,B+
17,94,Yes,8,Low,Medium,Neutral,6,Female,69,64,83,85,60,61,B+
11,78,Yes,8,Medium,Medium,Neutral,3,Male,63,72,92,84,46,57,B
20,77,No,6,Low,High,Positive,4,Female,60,65,86,81,82,59,B
14,66,No,7,Medium,High,Negative,3,Male,64,64,83,78,91,56,B
23,77,Yes,7,Medium,High,Neutral,2,Male,62,71,85,81,74,59,B
14,81,No,9,Medium,High,Negative,3,Female,69,65,81,78,76,59,B
29,61,Yes,7,Low,Medium,Positive,3,Female,64,64,86,80,47,60,B+
15,78,No,9,Low,Medium,Negative,1,Male,73,67,89,84,70,58,B
18,91,Yes,5,Medium,Medium,Neutral,3,Female,65,62,90,85,71,61,B+
25,87,No,9,High,High,Positive,2,Male,68,68,84,87,47,61,B+
13,85,No,6,Medium,Medium,Neutral,1,Male,70,67,81,91,84,58,B
21,96,No,8,High,High,Neutral,0,Male,66,71,89,84,59,64,B+
28,61,No,6,High,Medium,Negative,3,Male,67,60,84,76,81,58,B
10,82,No,8,Medium,High,Positive,1,Female,71,70,83,85,65,57,B
21,91,No,6,Medium,Medium,Neutral,2,Female,66,73,85,82,95,65,A-
22,82,No,9,Medium,Medium,Negative,2,Female,67,71,86,86,56,58,B
25,73,No,8,High,High,Negative,5,Female,68,66,85,86,48,59,B
13,65,No,6,Medium,Medium,Negative,4,Male,65,59,82,79,94,54,B-
12,96,Yes,8,Medium,High,Negative,3,Female,63,70,85,88,57,61,B+
23,79,Yes,8,Low,Medium,Negative,3,Female,64,69,87,88,77,62,B+
22,95,Yes,6,Medium,Medium,Positive,3,Female,75,69,84,87,64,65,A-
22,83,Yes,5,Medium,High,Positive,3,Female,73,77,83,88,77,64,B+
22,87,No,5,Low,High,Negative,3,Female,72,69,79,83,75,63,B+
16,92,Yes,5,Low,Medium,Neutral,2,Male,71,62,86,84,80,61,B+
21,86,Yes,5,Medium,High,Positive,2,Female,65,72,91,85,46,60,B+
22,76,Yes,8,Medium,High,Neutral,4,Female,70,67,88,86,87,61,B+
16,81,Yes,8,Medium,Medium,Positive,2,Female,70,67,85,82,69,61,B+
31,92,Yes,4,Medium,High,Positive,4,Male,70,66,84,83,71,65,A-
23,75,No,6,Low,Medium,Neutral,2,Male,74,72,83,82,66,58,B
13,76,No,5,Low,Medium,Positive,4,Female,69,62,82,77,94,59,B
24,64,Yes,8,High,High,Negative,3,Male,61,66,85,88,85,58,B
14,97,Yes,6,Medium,Medium,Negative,3,Female,71,71,84,86,61,60,B+
25,64,No,5,Low,Medium,Neutral,4,Male,63,68,86,82,84,59,B
27,86,No,7,Low,High,Positive,4,Male,74,69,84,83,67,62,B+
15,77,Yes,8,Low,High,Positive,3,Male,72,61,80,82,89,59,B
26,76,Yes,6,Medium,Low,Neutral,3,Male,66,67,91,84,47,62,B+
22,87,Yes,7,Medium,Medium,Neutral,2,Male,72,68,81,87,63,60,B+
25,63,Yes,6,Medium,Low,Positive,3,Male,69,64,81,79,66,59,B
31,84,Yes,9,Medium,Medium,Neutral,3,Male,76,72,84,92,82,64,B+
19,91,No,6,Medium,High,Neutral,4,Male,80,73,84,81,54,63,B+
15,93,No,6,Medium,High,Positive,4,Male,71,75,89,81,59,64,B+
15,67,Yes,7,High,Medium,Positive,3,Male,64,62,86,84,81,59,B
15,96,No,7,High,High,Negative,2,Male,64,75,83,84,49,60,B+
20,86,No,8,Medium,Medium,Neutral,4,Female,63,69,86,84,55,59,B
22,95,No,9,Low,High,Positive,2,Male,73,73,94,82,83,65,A-
22,79,No,9,Medium,Medium,Positive,3,Male,71,73,86,87,89,61,B+
25,82,No,6,Medium,High,Positive,3,Female,71,78,86,88,81,62,B+
20,97,Yes,7,Low,Low,Positive,3,Male,76,67,89,89,71,64,B+
29,96,Yes,9,Low,Medium,Neutral,2,Female,71,70,84,82,50,63,B+
18,78,No,9,High,Low,Neutral,4,Female,75,59,93,85,86,60,B+
36,71,Yes,6,Medium,Medium,Positive,2,Male,69,70,90,85,51,62,B+
24,76,No,8,Low,Medium,Neutral,1,Male,78,67,82,83,64,58,B
15,76,No,8,Medium,Medium,Neutral,4,Male,69,66,86,84,48,58,B
14,71,Yes,8,Low,High,Neutral,4,Male,61,62,77,83,80,57,B
23,71,Yes,9,Low,Medium,Negative,2,Male,59,57,84,82,70,56,B
19,94,Yes,5,Medium,Low,Positive,2,Male,72,71,86,85,90,62,B+
24,63,Yes,6,Medium,High,Neutral,5,Female,64,70,85,83,52,57,B
23,87,Yes,8,High,Medium,Positive,3,Male,76,71,85,84,86,65,A-
20,67,Yes,7,Medium,Medium,Neutral,4,Male,66,65,86,79,71,56,B
15,74,Yes,4,Low,Medium,Positive,3,Female,65,59,81,74,63,57,B
11,62,Yes,5,Medium,Medium,Neutral,4,Male,61,66,87,82,77,57,B
17,71,Yes,8,Medium,Medium,Positive,1,Male,61,66,84,87,85,60,B+
25,91,No,8,Low,High,Positive,0,Male,70,69,81,85,67,64,B+
21,95,No,5,High,Low,Positive,4,Male,75,68,85,84,57,63,B+
13,69,Yes,9,Low,Medium,Neutral,4,Female,63,60,88,77,91,54,B-
21,79,Yes,7,Low,Medium,Negative,4,Male,62,69,80,80,61,60,B+
22,79,No,5,Medium,High,Negative,3,Male,74,68,84,82,95,65,A-
15,95,Yes,6,Low,Medium,Negative,5,Male,69,65,85,82,83,59,B
21,91,Yes,5,Medium,Low,Neutral,2,Male,67,71,83,86,79,63,B+
20,81,Yes,6,High,Medium,Neutral,4,Male,69,64,84,82,46,60,B+
13,87,Yes,4,Medium,High,Neutral,3,Female,68,74,82,85,67,60,B+
22,94,Yes,7,High,Medium,Neutral,2,Female,67,69,89,91,70,64,B+
23,60,Yes,8,Medium,Medium,Positive,4,Male,69,64,84,77,64,59,B
26,76,Yes,5,Medium,Medium,Positive,4,Male,71,65,89,88,52,61,B+
26,96,Yes,7,Medium,Medium,Positive,3,Female,80,81,83,85,63,67,A-
12,90,Yes,6,Medium,Medium,Neutral,3,Male,70,67,88,77,49,57,B
14,82,No,8,Medium,Medium,Positive,3,Male,60,62,86,78,60,58,B
23,81,Yes,4,Medium,Medium,Neutral,3,Male,63,71,85,83,49,59,B
23,74,Yes,8,Low,High,Negative,3,Male,69,67,86,86,83,59,B
23,81,No,4,Medium,Medium,Positive,5,Male,71,70,84,76,79,61,B+
43,86,Yes,7,Medium,High,Positive,1,Female,81,77,87,88,92,71,A
23,77,Yes,6,Low,Medium,Positive,2,Female,85,65,90,82,64,60,B+
27,89,Yes,6,Medium,Medium,Positive,3,Male,78,76,88,81,84,67,A-
26,94,No,5,High,High,Positive,2,Male,80,73,84,91,74,67,A-
24,66,No,9,Low,Medium,Neutral,2,Female,67,69,84,80,77,55,B
18,78,Yes,5,Medium,Medium,Neutral,4,Male,70,62,85,86,72,59,B
25,76,Yes,5,High,High,Neutral,3,Female,69,75,88,84,84,62,B+
15,87,Yes,10,Medium,High,Positive,3,Male,72,68,84,87,47,61,B+
19,70,No,7,High,Medium,Positive,2,Male,86,91,92,94,49,82,A+
17,86,No,5,Low,Medium,Neutral,4,Male,66,70,81,89,50,59,B
20,95,Yes,7,Low,High,Neutral,3,Female,67,66,82,80,59,61,B+
34,77,Yes,7,Low,Medium,Positive,3,Male,70,73,88,85,75,62,B+
9,96,Yes,4,High,Medium,Positive,4,Male,78,58,86,83,77,60,B+
24,100,Yes,6,Low,Medium,Positive,5,Male,68,73,91,82,81,68,A-
10,64,No,7,High,Medium,Positive,4,Female,64,58,83,78,59,53,B-
17,69,Yes,9,Medium,High,Positive,4,Female,60,62,83,82,78,59,B
27,98,Yes,7,Low,Medium,Positive,3,Female,72,73,95,84,51,66,A-
20,98,No,7,Low,High,Neutral,2,Female,74,70,85,85,45,61,B+
14,64,Yes,6,Medium,Medium,Neutral,3,Male,63,65,77,88,80,55,B
16,61,No,9,Low,High,Positive,2,Male,58,64,85,79,81,55,B
24,66,Yes,8,High,Medium,Neutral,4,Male,63,63,83,81,76,58,B
16,100,Yes,8,High,Medium,Negative,3,Male,73,71,85,80,58,62,B+
21,67,No,7,Low,Medium,Neutral,2,Female,62,65,83,85,91,57,B
20,80,No,5,Medium,Low,Positive,4,Female,69,71,86,79,89,60,B+
16,94,Yes,9,Medium,High,Neutral,2,Male,71,73,83,86,71,63,B+
33,61,No,7,High,High,Neutral,3,Female,68,71,85,90,94,63,B+
24,84,No,7,Low,High,Positive,3,Female,80,67,86,85,60,62,B+
8,71,No,8,Medium,High,Positive,3,Male,65,59,86,80,70,54,B-
21,94,No,7,Low,Medium,Neutral,2,Male,61,68,83,88,91,62,B+
16,71,Yes,5,Medium,Medium,Neutral,0,Male,65,63,81,80,68,56,B
25,87,Yes,7,Low,High,Neutral,4,Male,65,69,88,83,69,60,B+
19,69,Yes,7,High,High,Neutral,4,Male,71,69,86,79,56,59,B
23,61,No,9,Medium,Medium,Neutral,2,Male,60,64,84,80,53,56,B
25,76,Yes,4,Medium,Medium,Negative,3,Female,68,69,83,82,73,61,B+
13,72,No,7,Medium,High,Neutral,4,Male,68,66,87,80,61,58,B
18,92,Yes,8,Medium,Medium,Positive,3,Male,72,66,85,87,49,60,B+
17,92,Yes,8,Medium,High,Neutral,3,Female,64,65,86,84,70,61,B+
16,78,No,6,Medium,Low,Neutral,3,Male,63,59,84,85,78,57,B
31,84,No,5,High,Medium,Positive,3,Male,70,69,87,83,82,64,B+
22,84,Yes,6,Low,Medium,Neutral,5,Female,67,71,88,85,87,62,B+
12,93,Yes,9,Low,Medium,Neutral,3,Male,76,65,84,83,69,60,B+
26,77,No,4,Low,Low,Neutral,3,Female,68,65,77,82,65,58,B
33,71,No,5,Medium,Medium,Positive,2,Male,63,70,84,83,79,61,B+
26,71,Yes,6,Low,Medium,Positive,3,Male,72,70,85,83,46,60,B+
11,81,Yes,6,High,High,Neutral,4,Male,78,64,85,91,77,60,B+
17,78,Yes,7,Medium,High,Positive,3,Male,72,70,82,84,65,59,B
28,78,No,9,High,Medium,Neutral,4,Female,64,75,82,82,68,63,B+
16,64,Yes,5,Medium,High,Positive,4,Female,64,62,86,82,60,58,B
23,89,Yes,7,Low,Low,Positive,4,Female,76,67,88,85,51,62,B+
25,69,Yes,7,Low,High,Positive,4,Female,63,70,79,75,65,58,B
14,68,No,6,Medium,Medium,Neutral,3,Male,66,63,82,78,60,56,B
20,77,No,5,Low,High,Neutral,2,Female,71,60,82,80,93,60,B+
1,69,Yes,6,Medium,Medium,Positive,3,Female,58,57,83,83,92,54,B-
14,83,Yes,6,Medium,Medium,Positive,2,Female,66,65,83,81,77,58,B
18,75,Yes,8,Medium,Low,Neutral,2,Female,52,63,80,79,90,59,B
13,78,Yes,8,High,Low,Neutral,3,Male,62,65,88,75,83,59,B
30,81,Yes,5,Medium,High,Negative,1,Male,69,70,87,83,62,62,B+
11,68,No,6,Medium,Medium,Positive,3,Female,58,69,82,83,75,56,B
17,66,No,6,Medium,Medium,Positive,6,Male,73,65,81,81,56,58,B
21,95,No,10,Low,Medium,Neutral,4,Male,62,71,81,87,79,60,B+
29,77,Yes,7,Medium,Medium,Negative,3,Female,68,75,85,82,47,62,B+
11,76,Yes,5,Medium,Low,Negative,2,Male,67,71,78,83,87,58,B
27,61,No,6,Medium,Medium,Positive,3,Male,72,67,89,80,74,58,B
20,80,Yes,6,Medium,Medium,Neutral,2,Male,60,59,82,87,48,58,B
14,82,Yes,8,Low,High,Negative,5,Female,73,69,85,83,89,60,B+
23,82,Yes,8,Medium,Medium,Negative,2,Male,67,70,83,88,89,59,B
21,88,No,7,Medium,Medium,Positive,3,Female,69,72,88,90,88,65,A-
16,67,No,7,High,Medium,Positive,3,Male,69,73,87,82,84,59,B
20,70,Yes,7,Low,High,Neutral,4,Male,67,69,76,80,79,58,B
18,92,Yes,7,Medium,Medium,Neutral,3,Male,67,72,88,82,65,62,B+
21,98,No,4,Medium,Low,Neutral,2,Female,69,72,85,87,52,61,B+
24,65,No,7,Low,Medium,Neutral,1,Male,63,66,87,83,59,57,B
30,80,No,6,Medium,Medium,Negative,4,Female,70,61,87,87,62,62,B+
13,69,Yes,5,Low,Medium,Positive,1,Female,63,58,77,77,63,52,B-
33,62,Yes,10,Medium,Medium,Positive,3,Female,76,73,82,81,73,61,B+
